question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.9277222911591332,0.8191496586799621,0.888589370250702,,4.04,84.0,28.000000000000004
complex,0.9525555555555556,0.8503795409202576,0.8731498670578003,,4.44,84.0,40.0
complex_situational,0.9086663852143728,0.8230315279960633,0.8434658145904541,,4.52,92.0,48.0
conversational,0.7703174603174604,0.4277410137653351,0.8847676825523376,,4.28,72.0,32.0
distracting element,0.9304358974358975,0.8915502142906189,0.8641650462150574,,4.4,88.0,44.0
double,0.9433080808080808,0.8181849431991577,0.8948093914985656,,4.44,96.0,12.0
out of scope,,,0.6955875740164802,,3.7142857142857144,52.38095238095239,71.42857142857143
rule_conclusion,0.8784722222222222,0.8977042883634567,0.9123883470892906,,4.083333333333333,75.0,50.0
simple,0.9235625485625486,0.8579588135083517,0.8934884468714396,,4.25,83.33333333333334,50.0
situational,0.8977478991596638,0.8393119287490844,0.8503784036636353,,4.2,80.0,52.0
vague,0.9107575757575758,0.6919265329837799,0.8509447360038758,,4.28,80.0,32.0
Overall,0.9043815045726936,0.7909991873368141,0.8613573974171536,,4.24907063197026,81.04089219330855,41.2639405204461
