question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.5620400702094601,0.5701311326026917,0.8408610391616821,,3.72,64.0,0.0
complex,0.35086939366485026,0.7750869154930115,0.7736908483505249,,3.56,52.0,0.0
complex_situational,0.39815525176223554,0.6183450722694397,0.7751587474346161,,3.68,60.0,4.0
conversational,0.2077017427017427,0.3889753365516663,0.793793396949768,,3.44,48.0,0.0
distracting element,0.331446712424749,0.7634764075279236,0.7978619694709778,,3.6,56.00000000000001,0.0
double,0.30257971917073334,0.7556210207939148,0.8176626563072205,,3.36,36.0,0.0
out of scope,,,0.5600235377039228,,3.3333333333333335,42.857142857142854,19.047619047619047
rule_conclusion,0.4071946124403134,0.6305455987652143,0.8232033550739288,,3.2083333333333335,33.33333333333333,0.0
simple,0.3117388834354435,0.6622376218438148,0.8000989109277725,,3.0,29.166666666666668,0.0
situational,0.43721822103245905,0.6893757700920105,0.7724058294296264,,3.64,56.00000000000001,0.0
vague,0.1549504871922554,0.4662089037895203,0.6534282946586609,,2.28,24.0,0.0
Overall,0.34628404780233996,0.6318843196476659,0.7670680974717476,,3.349442379182156,45.72490706319702,1.858736059479554
