question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.47761235255972095,0.6101983451843261,0.8600710916519165,,2.84,16.0,0.0
complex,0.3202846761082055,0.2993138599395752,0.787704792022705,,2.6,20.0,0.0
complex_situational,0.3677167251049604,0.4324458861351013,0.7718238949775695,,2.56,24.0,0.0
conversational,0.17011464593198336,0.39252641797065735,0.8111431503295898,,3.24,32.0,0.0
distracting element,0.3024380152011731,0.3415589189529419,0.7699498164653779,,2.68,28.000000000000004,0.0
double,0.2783021805134337,0.7161724209785462,0.8399241304397583,,2.64,8.0,0.0
out of scope,,,0.6084468790463039,,3.142857142857143,23.809523809523807,33.33333333333333
rule_conclusion,0.23423370610870609,0.4231044699748357,0.7881274372339249,,2.4583333333333335,12.5,0.0
simple,0.22352799490957387,0.4768767108519872,0.7978400488694509,,2.5,12.5,0.0
situational,0.2503447963800905,0.35694088220596315,0.7885910964012146,,2.88,16.0,0.0
vague,0.22653447641682933,0.3020870590209961,0.6551413595676422,,2.16,24.0,0.0
Overall,0.28556442552358324,0.4350025931433324,0.7730458640254563,,2.6951672862453533,19.702602230483272,2.6022304832713754
